query_id,user_id,timestamp,device_type,query_text,language,intent,location,query_duration_sec,num_words,is_successful,confidence_score,device_os_version
47,c40db9b4-885f-4e66-82b6-d2c5fa5d3100,2025-02-18 20:10:22,smartwatch,Navigate to airport,French,navigation,Paris,4.08,3.0,True,0.78,iOS 14
48,f264accc-79ac-4b1e-a8e5-6e0c20de435d,2025-03-06 03:05:41,smartphone,Route to home,English,navigation,Tokyo,7.11,3.0,,0.79,iOS 15
49,9b49bd26-df57-459a-8715-a10343dac043,2025-06-14 07:55:53,tablet,Directions to nearest gas station,Mandarin,navigation,London,5.69,5.0,True,0.95,iOS 15
50,8a0f4efb-edcd-465e-b638-6821f6e07cc0,2025-03-20 02:51:49,smart speaker,How tall is the Eiffel Tower?,French,information,Tokyo,1.47,6.0,True,0.99,iOS 15
51,fec21bbe-6624-4bfa-8fcc-a39ab683d2e6,2025-05-26 00:31:52,smart speaker,Find nearest coffee shop,Hindi,navigation,New York,5.65,4.0,False,0.87,Android 11
52,7394988f-847f-49b4-a64d-1bcb702753a1,2025-02-16 23:50:27,tablet,How to get to Central Park,Spanish,navigation,Tokyo,4.23,6.0,True,0.69,iOS 14
53,568cc69b-1064-405c-b985-c3cf3f76be1d,2025-01-09 04:03:12,tablet,Find nearest coffee shop,Hindi,navigation,London,3.65,4.0,,0.91,iOS 15
54,96a402f2-3ae8-4c93-8dcd-cd03969b6662,2025-03-27 12:34:29,smart speaker,Who won the game last night?,Hindi,information,London,6.22,6.0,,0.93,Android 11
55,a18ff6b6-b535-406e-922c-9a5601d74256,2025-01-23 20:44:35,smartwatch,Track my Amazon order,French,shopping,London,7.06,4.0,True,0.56,Android 11
56,080aadfb-e7c9-4b26-9141-25c63a9bedd4,2025-05-09 07:49:00,smart speaker,Buy new headphones,English,shopping,New York,6.86,3.0,True,0.72,Android 11
57,474a493b-3ced-4f2d-839f-bc501223b513,2025-07-08 12:23:27,tablet,Add milk to shopping list,English,shopping,Delhi,3.32,5.0,True,0.6,iOS 14
58,b92da22b-21df-406f-8a0b-3c3336d8393a,2025-07-03 13:36:47,tablet,Define artificial intelligence,French,information,Paris,4.38,3.0,False,0.68,iOS 14
59,ceb81f9d-7914-4120-88dc-d19f3e351128,2025-06-08 02:04:25,smartwatch,Buy new headphones,English,shopping,Paris,5.66,3.0,,0.75,Android 10
60,a8b317fa-18d0-452b-9825-bc5430beb45f,2025-06-17 09:41:17,smartwatch,Show me comedy shows,French,entertainment,Los Angeles,6.95,4.0,False,0.71,Android 10
61,778eedb3-693d-4fbc-ac6f-a6115ab33edf,2025-01-22 00:54:43,smart speaker,Add milk to shopping list,Mandarin,shopping,Delhi,4.04,5.0,True,0.92,Android 11
62,a56c0941-fbf2-4050-a748-dbcfac619e63,2025-02-08 05:19:15,smartwatch,Navigate to airport,French,navigation,Shanghai,4.63,3.0,,0.73,Android 10
63,56dc8907-ba6c-44ab-a712-303a0f844fef,2025-02-12 10:27:40,smart speaker,Track my Amazon order,Spanish,shopping,Paris,2.79,4.0,True,0.64,
64,894a05e4-30b1-47ef-b10c-0c003fa7f104,2025-06-24 05:22:52,smartwatch,Who won the game last night?,Mandarin,information,Los Angeles,2.61,6.0,False,0.57,iOS 14
65,474ebc19-2ef9-4276-ac00-6f6123e2fcb4,2025-06-29 16:00:22,smart speaker,What's trending on Netflix?,English,entertainment,Delhi,6.63,4.0,True,0.94,
66,134c6c92-ec5b-427c-9fde-4fbf3ff350bf,2025-06-22 02:16:40,smart speaker,Recommend a podcast,Hindi,entertainment,Los Angeles,7.71,3.0,False,0.83,iOS 14
67,8ce21ea3-db20-456e-9c81-5fe7ceda8bbb,2025-02-08 00:34:31,smartphone,Who is the lead actor in Inception?,Spanish,entertainment,Tokyo,4.86,7.0,True,0.73,
68,8a63f881-ffd0-49d5-a6f2-f7b80cf35b58,2025-01-06 17:33:11,smart speaker,Tell me news headlines,Spanish,information,Tokyo,7.01,4.0,True,0.83,
69,c0e9ab30-ed26-42e9-97e0-11b7f8102383,2025-04-02 19:12:59,car assistant,Call Mom,French,command,Tokyo,5.72,2.0,True,0.71,
70,7b3a4e3e-7c52-4a17-a80a-c07a2a935d62,2025-03-25 00:16:09,tablet,Navigate to airport,Hindi,navigation,London,3.71,3.0,False,0.92,Android 11
71,0f02bad0-e706-4ef4-a6aa-9385dd59ba71,2025-03-05 22:31:45,car assistant,Who is the lead actor in Inception?,Mandarin,entertainment,Delhi,5.72,7.0,True,0.86,iOS 15
72,63f2ae24-fc3d-4348-808d-4127610461e3,2025-04-13 23:52:17,smartwatch,Play my favorite song,French,command,New York,8.08,4.0,False,0.58,Android 10
73,747b6dba-c8fe-4ccd-88b8-d9c6ed3049cf,2025-04-21 18:42:55,smart speaker,Directions to nearest gas station,Hindi,navigation,Delhi,4.93,5.0,,0.77,Android 10
74,bb026576-f512-44c3-b253-d2186c4a37ea,2025-07-09 00:06:22,smartphone,Navigate to airport,Hindi,navigation,Tokyo,8.13,3.0,True,0.97,iOS 14
75,37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,2025-01-23 17:06:13,car assistant,Recommend a podcast,English,entertainment,London,1.3,3.0,True,0.93,Android 10
76,0f9aea4b-8acd-4e10-bc59-4585944528c0,2025-05-02 19:00:31,car assistant,Add milk to shopping list,Spanish,shopping,Delhi,6.64,5.0,False,0.64,Android 10
77,7a0ecfea-958c-49ba-8cd6-20c20ea2622b,2025-07-15 06:54:18,smartphone,Show me comedy shows,Hindi,entertainment,Paris,5.17,4.0,False,0.92,iOS 15
78,284d82e5-87f7-41fb-9a4b-d9caeb5cf467,2025-01-23 02:09:21,car assistant,Order me a pizza,Hindi,shopping,Shanghai,4.4,4.0,True,0.83,iOS 14
79,d9f195d0-1482-4f53-8201-0c62f5f59b22,2025-03-14 04:00:51,tablet,Navigate to airport,Spanish,navigation,New York,5.18,3.0,,0.69,iOS 15
80,acdabacc-1165-4210-9854-3881118a9d29,2025-04-02 08:15:33,tablet,Play my favorite song,Hindi,command,London,1.02,4.0,True,0.63,iOS 14
81,e3e9de99-f10c-418b-9eb0-e38a675dd5af,2025-04-06 14:53:36,tablet,Define artificial intelligence,English,information,London,4.56,3.0,False,0.83,iOS 14
82,9e8fc965-0a2c-427e-9832-685694340a03,2025-02-01 20:08:26,smartphone,Find nearest coffee shop,English,navigation,Shanghai,5.71,4.0,False,0.62,Android 10
83,90b2b633-956b-4c0c-a849-9b926b5252e3,2025-07-23 00:41:17,smartphone,Find nearby clothing stores,Hindi,shopping,Paris,7.96,4.0,,0.88,iOS 15
84,344a54b8-42c1-4a62-af48-e8d550fd9d3f,2025-05-03 00:24:21,car assistant,Order me a pizza,Spanish,shopping,London,3.96,4.0,True,0.79,Android 11
85,21813d25-6552-48a6-83ff-50113d1a85dd,2025-04-27 12:10:31,car assistant,Recommend a podcast,Spanish,entertainment,New York,3.38,3.0,True,0.85,iOS 15
86,c07a30f2-edd4-453b-90f0-fd0a750cab75,2025-01-29 04:09:03,smartphone,Open the calendar,English,command,Tokyo,4.0,3.0,True,0.89,Android 11
87,ff9ab5c2-9f04-4aed-b552-332702627f73,2025-02-08 19:53:34,car assistant,Show me comedy shows,English,entertainment,Shanghai,6.83,4.0,,0.51,Android 10
88,8181a8cc-3691-47eb-89a2-688b12c136e0,2025-04-13 23:50:49,tablet,Tell me news headlines,Mandarin,information,Paris,5.66,4.0,True,0.85,Android 10
89,e1805081-5958-4499-aeea-163e21e8ac68,2025-01-27 17:10:53,smart speaker,Buy new headphones,French,shopping,Tokyo,3.94,3.0,True,0.89,Android 10
90,48f4ef12-5e99-43d2-be89-6c64e117dac3,2025-03-03 06:18:25,tablet,Buy new headphones,Mandarin,shopping,Tokyo,6.03,3.0,False,0.92,iOS 14
91,b41b3143-8b10-450c-9570-4f32702cdd20,2025-04-28 11:39:50,smartwatch,Who is the lead actor in Inception?,Hindi,entertainment,Shanghai,5.19,7.0,True,0.83,Android 11
92,ce9e1a11-fcbb-4e59-bbdd-cf7c9c96e9ec,2025-07-25 10:05:04,smartphone,Show me comedy shows,Spanish,entertainment,Delhi,6.94,4.0,False,0.68,Android 11
93,8dfa6a56-d12d-4c9a-aaf9-15310200b1f0,2025-04-27 06:24:43,smartwatch,Open the calendar,Mandarin,command,Shanghai,3.6,3.0,True,0.76,iOS 15
94,f05db76e-1a84-451a-a9d3-d7c7ee87905e,2025-02-22 03:41:02,smartphone,Navigate to airport,Hindi,navigation,Shanghai,4.34,3.0,False,0.85,Android 10
95,1b66b5a9-e3c4-4657-9d8c-bbac43b409ef,2025-03-02 08:52:46,tablet,What's the weather like today?,Mandarin,information,Los Angeles,4.22,5.0,True,0.85,Android 11
96,35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,2025-05-14 03:52:33,car assistant,Call Mom,French,command,Shanghai,2.07,2.0,,0.71,
97,da587e8a-a25d-4b29-afff-cfd2341ef40b,2025-04-13 12:30:29,smartwatch,Call Mom,Mandarin,command,London,5.59,2.0,,0.62,iOS 15
98,e7c421c7-4049-4b71-bd10-6c6081627cf1,2025-01-20 17:28:48,smartwatch,Define artificial intelligence,Spanish,information,Los Angeles,5.52,3.0,False,0.87,Android 11
99,d450281c-6c6f-4633-a260-772317a0df49,2025-04-18 10:50:47,car assistant,Add milk to shopping list,Mandarin,shopping,New York,5.01,5.0,False,0.65,Android 11
100,c56811cd-5563-4616-80e8-5ece0b49452d,2025-02-20 19:19:39,smart speaker,Set an alarm for 7 AM,French,command,Los Angeles,4.53,6.0,,0.52,iOS 14
101,295d6fbf-430f-401d-bad4-09e2a319dcb4,2025-06-21 14:12:19,car assistant,Turn off the lights,Hindi,command,New York,2.17,4.0,True,0.79,Android 10
102,8f9797b0-6d7c-43c9-b4a6-9f3c8d3aed99,2025-01-04 18:07:41,tablet,Show me comedy shows,Spanish,entertainment,New York,4.16,4.0,,0.97,Android 10
103,e21342b0-f1ee-4ba3-9343-2e611ca3c448,2025-02-27 21:17:11,smartphone,Tell me news headlines,Hindi,information,New York,4.31,4.0,True,0.81,iOS 14
104,5e84f058-d5a8-44eb-8939-23de8babce3b,2025-02-27 12:20:02,smart speaker,Route to home,Mandarin,navigation,New York,3.4,3.0,False,0.56,Android 10
105,4eea04e7-0ab5-4bde-a0a0-45026e068097,2025-05-22 14:47:54,car assistant,Add milk to shopping list,Spanish,shopping,Tokyo,4.68,5.0,True,0.69,Android 10
106,f8e1daa7-cbce-4bde-aede-db07e623a689,2025-01-16 11:50:49,smartwatch,Track my Amazon order,Mandarin,shopping,Shanghai,5.81,4.0,True,0.53,iOS 14
107,ae9bec36-35c7-436c-9b99-62c6e61fecc0,2025-04-07 21:47:08,smart speaker,How to get to Central Park,English,navigation,Los Angeles,8.77,6.0,False,0.59,iOS 14
108,c7b5b2bc-5a8a-4eca-9a50-aec3aabc25fa,2025-06-07 19:42:42,smart speaker,Tell me news headlines,Hindi,information,Paris,5.35,4.0,True,0.73,iOS 14
109,2790cebd-bfdd-43d9-9ee3-ac2af94d6204,2025-04-02 22:33:06,smart speaker,Play my favorite song,Hindi,command,New York,5.52,4.0,False,0.96,
110,ccc56569-f9e8-4369-a999-b735dd56cc94,2025-03-10 18:14:51,smart speaker,Play latest movie trailers,French,entertainment,Los Angeles,4.85,4.0,False,0.95,iOS 15
111,2dea9493-0658-463a-a98c-206fe1a47e10,2025-05-10 00:11:34,smartphone,Who won the game last night?,Mandarin,information,Shanghai,1.16,6.0,True,0.96,Android 10
112,cd5f4822-6966-48aa-ae49-f329c84a7b28,2025-04-07 09:05:10,smartphone,Show me comedy shows,Hindi,entertainment,London,4.95,4.0,True,0.77,Android 10
113,b386f7a4-c991-403f-a8c1-3091444d610b,2025-02-11 23:31:27,smartphone,Order me a pizza,Hindi,shopping,Paris,5.12,4.0,,0.8,iOS 14
114,dbccc477-09e9-4b0a-9f46-529061ee411a,2025-07-02 19:08:56,smartphone,Route to home,French,navigation,New York,9.93,3.0,,0.79,iOS 15
115,eb1fa9f2-d10b-41d0-b317-347038f16a81,2025-06-28 18:20:13,tablet,Track my Amazon order,Mandarin,shopping,Los Angeles,4.62,4.0,True,0.72,Android 10
116,cb9bc326-d20e-4c17-8e20-fd1a598336e3,2025-03-30 09:20:37,smartphone,Show me comedy shows,Hindi,entertainment,London,5.6,4.0,,0.84,iOS 15
117,3170f437-a8f7-4f5a-860e-df5b39118497,2025-06-04 17:58:19,smartwatch,Recommend a podcast,Mandarin,entertainment,Paris,4.93,3.0,True,0.91,
118,11c58ef0-dd46-4c09-8752-87aa5408f9ac,2025-04-19 09:38:00,smartphone,Play latest movie trailers,Mandarin,entertainment,London,2.66,4.0,,0.56,Android 10
119,6651529e-8268-490b-a438-25b559e4b671,2025-07-28 05:53:34,car assistant,Define artificial intelligence,Hindi,information,Delhi,7.29,3.0,True,0.59,Android 11
120,1d870966-0710-4430-b071-d87954c63cd8,2025-04-12 10:42:07,car assistant,Recommend a podcast,English,entertainment,Los Angeles,6.5,3.0,,0.77,Android 11
121,fbc9f87a-f668-4617-94a1-875d2db69edb,2025-04-14 02:19:33,tablet,Play latest movie trailers,English,entertainment,Paris,6.58,4.0,True,0.9,iOS 15
122,6f3f920c-98b8-44cc-9bc0-44fc09cb3942,2025-05-15 06:02:14,smartwatch,Order me a pizza,French,shopping,Delhi,3.18,4.0,True,0.61,iOS 14
123,6fb78271-504d-481f-8953-5b63ba81edd9,2025-07-18 14:48:30,tablet,Who won the game last night?,Hindi,information,Paris,7.81,6.0,,0.75,Android 11
124,939b462d-e645-4129-a29c-2ae31d9af659,2025-03-15 19:39:45,tablet,Recommend a podcast,Spanish,entertainment,Delhi,2.2,3.0,True,0.57,iOS 15
125,6fa17735-b572-43d0-8b5c-ea6a41357e8c,2025-01-01 15:45:49,car assistant,Find nearby clothing stores,English,shopping,London,6.17,4.0,True,0.67,
126,89d7fd6c-ce77-4f00-acf2-7e7685197ff4,2025-03-18 12:30:01,smartwatch,How tall is the Eiffel Tower?,Mandarin,information,Tokyo,9.38,6.0,True,0.79,Android 10
127,f2e9702d-11e9-4daa-ae69-81a35d3d9e56,2025-05-09 05:41:14,smart speaker,What's trending on Netflix?,Hindi,entertainment,London,3.02,4.0,,0.78,
128,d9178793-a9d3-42e6-905c-c6869f871ce7,2025-02-18 09:35:31,tablet,Show me comedy shows,Spanish,entertainment,Paris,3.87,4.0,False,0.79,iOS 15
129,81d2c7de-4ce1-4b90-a669-7833b841d0a0,2025-05-01 02:44:31,tablet,How tall is the Eiffel Tower?,Hindi,information,Paris,5.2,6.0,True,0.69,iOS 15
130,6703b636-5380-4904-a88c-7015aab97e49,2025-04-25 19:42:22,tablet,Who won the game last night?,French,information,Shanghai,3.99,6.0,,0.93,Android 10
131,6ba25efe-311c-4eb6-a095-eef68dedf9fb,2025-05-28 05:53:24,smartphone,Track my Amazon order,English,shopping,Paris,1.9,4.0,False,0.7,iOS 15
132,2c8d0e44-e71e-43a6-bf85-bf0ead64b56c,2025-04-27 21:03:22,smartphone,Show me comedy shows,Mandarin,entertainment,Shanghai,5.14,4.0,True,0.82,Android 11
133,001a9a8b-d56f-4350-8c45-9ce267f48ad5,2025-04-29 00:19:11,car assistant,Show me comedy shows,Hindi,entertainment,Tokyo,2.88,4.0,True,0.52,iOS 14
134,c9277d9b-6e0d-4648-b5ce-884149732d6c,2025-05-06 03:34:49,smart speaker,Turn off the lights,English,command,Delhi,5.95,4.0,True,0.88,iOS 14
135,acf5e81e-7131-4269-b118-e36477097749,2025-03-24 23:50:29,tablet,How to get to Central Park,English,navigation,New York,3.16,6.0,,0.9,Android 11
136,e6b3c944-cb32-4e35-b922-bac282dc4c8e,2025-03-07 21:38:18,smartwatch,Call Mom,Spanish,command,Los Angeles,8.1,2.0,True,0.71,iOS 15
137,83f4a9a9-48a6-49d0-95b5-2908a8aa7158,2025-05-11 04:10:51,smart speaker,Directions to nearest gas station,French,navigation,Tokyo,3.43,5.0,True,0.81,iOS 15
138,c04a96c4-f3b6-4fe1-9184-332417e8392a,2025-04-02 05:08:02,tablet,Find nearby clothing stores,Spanish,shopping,Delhi,4.36,4.0,,0.73,iOS 14
139,ce7ae7f6-3982-4cff-8f77-a665ac3c5640,2025-03-19 08:01:31,tablet,Open the calendar,Spanish,command,New York,6.63,3.0,True,0.97,
140,3eae0032-0bd4-4990-8640-be0f25b8fd4b,2025-07-04 12:35:30,smartwatch,Show me comedy shows,Hindi,entertainment,Tokyo,2.54,4.0,,0.6,Android 10
141,12a4def0-c4bb-47a9-9988-68dd9c7c7377,2025-06-26 20:47:10,tablet,Who won the game last night?,Hindi,information,Shanghai,5.45,6.0,,0.79,Android 11
142,935f2b0a-a138-4ddc-a2d9-de5d6a18ce4c,2025-03-17 12:16:03,smartphone,Show me comedy shows,English,entertainment,Shanghai,7.61,4.0,True,0.96,Android 10
143,7e8f8095-624c-49b6-b244-45a7b7e58481,2025-06-05 05:02:04,smartwatch,Route to home,Mandarin,navigation,Los Angeles,1.79,3.0,False,0.81,iOS 15
144,b00805cc-a7f3-4ae9-a5c7-3c443e75c3b4,2025-01-03 03:40:53,smartphone,How tall is the Eiffel Tower?,Hindi,information,New York,5.37,6.0,True,0.68,iOS 15
145,c521bf2d-dc45-4539-803f-3538e4855aa1,2025-02-11 09:27:56,smartphone,Play my favorite song,Hindi,command,Los Angeles,5.52,4.0,False,0.57,
146,2d06e8cf-3805-4907-acd6-6193c7468f59,2025-07-21 03:42:58,smartwatch,Add milk to shopping list,Mandarin,shopping,Tokyo,6.56,5.0,False,0.63,Android 10
147,3fcb7546-8eb2-4579-8cdb-1ca476ecbdd6,2025-02-17 03:08:38,smartwatch,Set an alarm for 7 AM,Hindi,command,New York,2.53,6.0,False,0.88,iOS 15
148,76f2dbfe-cd29-436f-a222-82e174daaebf,2025-07-26 06:30:28,tablet,Buy new headphones,English,shopping,Tokyo,2.36,3.0,True,0.51,
149,513a7052-986f-4025-8f15-ba58fce68504,2025-06-21 21:04:59,smartphone,Show me comedy shows,Mandarin,entertainment,Shanghai,6.04,4.0,True,0.91,Android 11
150,e45b712e-b822-4688-90a4-44329cd6c852,2025-07-16 00:52:24,smartphone,Navigate to airport,English,navigation,Shanghai,5.59,3.0,True,0.66,
151,8c41561b-e827-41b9-94a0-2e536d3ee1dc,2025-06-23 04:12:57,smart speaker,Tell me news headlines,Mandarin,information,Paris,5.5,4.0,True,0.56,iOS 14
152,dc8aee30-be60-43f7-a8be-9288e5af6e39,2025-07-04 08:17:11,smartphone,Call Mom,English,command,New York,5.69,2.0,False,0.94,iOS 15
153,3f4b1a70-c074-418e-825a-609f7337c599,2025-04-18 16:43:44,tablet,Show me comedy shows,French,entertainment,Delhi,3.64,4.0,True,0.87,iOS 15
154,7c0e8cd8-8573-4793-8715-b2b9c40c5d91,2025-04-03 21:55:59,tablet,Tell me news headlines,French,information,Delhi,5.46,4.0,,0.52,Android 11
155,b6aae05b-13d5-42f7-b09b-7d97464c04af,2025-04-21 23:10:45,smart speaker,Recommend a podcast,Spanish,entertainment,Tokyo,5.59,3.0,,0.55,Android 11
156,51d87c64-55fa-4ab8-858f-1f193c07c574,2025-07-29 18:35:01,car assistant,Set an alarm for 7 AM,Hindi,command,London,3.57,6.0,False,0.98,Android 10
157,3b33f3d8-269c-4696-a36c-7b8714a0bccb,2025-05-29 18:08:51,smartphone,Route to home,English,navigation,New York,8.73,3.0,,0.62,iOS 15
158,36c59dac-b4d7-428e-a71e-3ee2b1a6b1f1,2025-01-25 22:39:22,car assistant,Directions to nearest gas station,French,navigation,Los Angeles,5.95,5.0,True,0.61,iOS 15
